"CDU/CSU","SPD","FDP","LINKE","GRÜNE","PIRATEN","NPD","TIERSCHUTZ","REP","ÖDP","FAMILIEN","RRP","RENTNER","BAYERN","PBC","BÜSO","VIOLETTEN","MLPD","VOLKSABST","PSG","AFD","BIG","PRO-DE","FRAUEN","FREIE","NICHTWÄHLER","PDV","DIE PARTEI"
1,3,1,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,2,1,3
3,1,2,1,1,1,3,1,3,3,3,1,1,3,3,3,3,1,3,1,1,1,2,1,1,1,1,1
1,1,1,3,3,2,1,3,1,3,3,1,1,1,1,1,3,3,2,3,1,1,1,3,1,2,1,1
3,3,3,3,3,3,1,3,1,3,3,3,3,1,3,1,3,2,3,1,1,3,1,2,3,3,1,3
1,3,1,3,2,2,3,3,1,1,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,3,1,3
3,2,1,1,1,1,2,1,3,1,3,3,3,1,3,1,1,1,3,1,1,1,3,2,3,2,1,1
1,1,1,2,2,3,1,3,1,1,1,1,1,1,1,1,3,2,1,3,1,3,1,2,1,2,1,3
1,2,1,2,2,3,3,3,1,3,3,3,1,1,1,1,3,1,3,1,1,1,3,3,1,2,1,3
3,3,3,3,3,3,1,3,1,3,3,3,3,3,2,3,3,3,2,3,3,3,1,3,3,2,1,3
1,3,1,3,3,2,3,3,1,3,3,3,3,1,1,1,3,3,3,3,1,3,1,3,1,1,1,3
1,1,1,3,1,1,3,1,2,1,1,1,1,1,1,3,2,3,2,3,1,1,3,3,1,1,3,1
1,1,1,3,3,3,3,3,1,3,3,3,1,3,2,1,3,3,2,2,2,3,1,3,1,2,1,2
3,1,2,1,1,1,3,1,3,3,3,3,1,3,3,3,3,1,3,1,3,3,3,1,3,2,1,1
1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,3
1,3,2,3,3,3,1,2,1,3,3,2,2,1,2,3,3,3,2,3,1,3,1,3,1,2,1,3
1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3
3,3,2,3,3,3,1,3,3,3,3,3,3,1,3,3,3,2,3,1,3,3,3,2,3,3,1,3
1,2,2,3,3,3,3,1,1,3,3,1,1,3,3,1,3,1,1,3,1,1,3,3,3,2,1,3
1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1
2,3,1,3,3,2,1,3,1,1,3,1,1,1,1,2,3,2,1,1,1,2,1,3,1,2,1,3
2,1,1,1,1,2,2,1,3,2,3,1,1,3,2,1,1,1,2,1,3,1,2,1,2,2,3,1
1,3,2,3,1,2,3,3,1,1,2,3,3,3,1,3,3,3,3,3,1,3,3,2,3,2,1,3
3,3,3,3,3,3,1,3,1,3,3,2,2,1,1,3,3,3,2,3,2,3,1,3,3,2,1,3
1,1,1,3,2,3,3,3,2,3,3,1,1,2,2,2,3,3,2,3,1,1,3,3,1,3,1,3
3,2,3,1,1,1,3,3,3,3,2,3,3,3,3,3,1,1,3,1,3,1,3,1,3,2,1,3
1,3,2,3,3,2,1,1,1,2,1,2,1,1,1,1,3,1,2,1,1,3,1,2,1,2,1,1
2,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,1,3
1,2,1,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3
3,3,3,1,1,1,2,2,3,1,1,3,3,3,3,1,1,1,1,1,3,1,1,1,3,2,3,1
3,3,2,1,2,1,2,1,1,3,1,1,1,3,3,2,1,1,2,1,3,3,3,1,3,2,1,1
1,3,1,3,3,3,3,1,1,3,3,3,3,1,1,1,1,3,3,3,1,3,3,3,1,2,1,2
3,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,1,3,2,3,2
1,3,3,3,3,3,1,3,1,2,2,3,3,1,1,1,3,3,2,3,1,1,1,3,2,3,3,3
1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3
3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,2,1,3
3,1,1,1,1,1,3,3,3,2,1,1,3,3,3,2,1,1,2,1,3,1,3,1,1,1,1,1
2,1,1,1,2,1,1,1,3,1,1,1,2,3,1,1,1,1,1,1,2,1,1,2,1,2,1,3
2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
