"CDU/CSU","SPD","LINKE","GRÜNE","FDP","AFD","PIRATEN","NPD","FREIE","MUT","ÖDP","DIE PARTEI","BAYERN","VOLKSABST","PDV","MLPD","BÜSO","SGP","RECHTE","ADD","TIERSCHUTZ","BERGPARTEI","GRUNDEINK","DIB","DKP","DM","GRAUEN","URBANE","M.WELT","HUMANISTEN","GESUNDHEIT","VPARTEI3"
1,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,2,3
3,3,1,1,3,3,1,3,3,1,1,1,3,3,3,3,3,3,3,3,2,2,1,1,1,3,3,2,1,2,2,1
2,3,3,3,3,1,3,1,3,3,3,1,1,1,1,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,2,3
3,1,1,1,3,3,3,1,1,1,1,1,1,1,3,1,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1
1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
3,2,1,1,1,1,1,1,1,2,1,1,1,3,2,3,3,1,1,3,3,1,1,2,1,3,1,2,3,1,2,1
1,1,3,3,2,1,3,1,1,3,2,3,3,1,3,3,3,3,1,1,1,3,3,3,3,3,1,3,3,3,2,3
3,2,1,1,3,3,1,3,1,1,1,1,3,1,3,1,1,1,3,3,1,1,1,1,1,1,3,1,1,2,2,2
3,3,1,1,3,3,3,3,3,1,1,1,3,1,3,1,3,1,3,3,2,2,1,1,1,3,3,1,1,3,2,1
1,2,3,3,1,1,3,2,1,3,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3
1,1,3,1,3,3,3,3,1,1,3,3,3,3,3,2,1,3,3,1,1,2,3,1,3,1,1,1,1,3,2,1
2,3,1,1,3,1,1,1,3,1,1,1,2,1,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,2,1
3,3,3,3,3,3,3,1,3,3,3,3,2,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3
1,3,3,3,1,2,3,3,3,3,3,3,1,1,1,3,3,3,1,3,3,2,3,3,3,1,3,3,3,2,2,3
1,3,3,3,1,3,3,2,3,3,1,1,3,1,3,1,1,1,3,3,2,2,2,1,3,3,1,3,3,1,2,3
3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,1,1,3,3,1,2,3,1,3,3,3,3,3,2,3
1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,2,1,1,2,1,2,1
2,3,3,3,1,1,3,1,1,2,1,3,1,3,2,3,3,3,1,1,2,1,3,3,3,1,3,2,2,1,2,2
2,1,1,1,3,1,1,2,3,1,1,3,1,1,3,1,2,2,3,3,1,1,1,1,1,3,3,1,1,1,2,1
2,1,3,3,1,3,3,3,3,3,3,3,3,1,1,3,1,1,1,1,3,3,3,3,3,3,1,3,3,3,2,3
1,1,3,1,1,2,1,3,1,2,1,3,1,3,1,3,3,3,3,1,3,2,3,2,3,1,2,3,3,1,2,1
2,1,1,1,1,3,1,3,3,1,1,1,3,3,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,2,1
3,3,1,3,2,2,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
3,3,3,3,3,1,3,1,3,3,3,3,1,3,3,2,1,3,1,3,3,2,3,3,3,1,1,3,3,3,2,3
3,3,3,3,1,1,1,1,2,3,1,3,1,1,1,2,3,2,1,1,3,3,2,3,3,3,1,3,3,2,2,3
2,2,1,1,3,3,1,1,3,1,1,1,3,1,3,1,1,1,3,1,2,1,2,1,1,1,1,1,1,2,2,1
3,3,3,3,3,1,3,1,3,2,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,2,3
3,1,1,1,3,3,1,1,3,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,1,3,1,1,1,1,2,1
1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1
1,3,3,3,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,2,3,2,2,1
3,2,1,3,3,3,1,2,3,1,2,1,3,3,3,2,2,1,3,3,2,1,1,1,1,1,1,1,1,3,2,1
3,3,1,1,1,3,1,3,3,2,3,1,3,3,1,2,3,1,3,2,1,2,1,1,1,1,2,1,1,1,2,1
2,3,3,2,1,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,2,3,2,1,1,1,1,2,2,2,2,1
1,1,3,2,1,1,3,2,1,1,1,1,1,1,1,3,3,3,1,1,2,3,3,3,3,1,1,3,1,3,2,1
1,1,1,1,2,3,1,1,1,1,3,1,2,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,1
1,1,3,1,2,1,3,1,1,3,1,3,1,3,3,3,1,3,1,1,2,3,3,3,3,1,3,2,1,3,2,3
3,3,2,2,3,3,1,3,3,1,3,1,3,1,3,2,3,1,1,3,2,1,1,1,3,1,2,1,1,1,2,1
1,1,2,1,1,3,1,3,1,1,1,1,2,1,2,3,3,3,3,1,1,1,1,1,3,1,2,1,1,1,2,1
