"CDU","SPD","GRÜNE","FDP","LINKE","CSU","FREIE","REP","TIERSCHUTZ","FAMILIEN","PIRATEN","ÖDP","PBC","VOLKSABST","BP","CM","AUF","DKP","BüSo","PSG","AfD","PRO-NRW","MLDP","NPD","DIE PARTEI"
3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,3,1,2,1,1,1,1,2,1,3
1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,1,3,3,3,3,2,2
2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,1,1,1
1,3,3,3,3,1,1,1,3,2,3,3,3,1,1,2,2,3,3,3,1,1,3,1,3
1,3,3,1,3,1,1,1,3,3,3,3,2,3,1,3,1,3,3,3,1,2,3,2,3
2,2,1,1,1,3,3,3,1,2,1,1,1,2,2,3,3,3,3,3,3,3,3,2,3
1,1,3,1,2,1,1,1,3,1,3,3,3,3,3,3,2,2,1,1,1,1,2,3,3
1,2,3,2,3,1,2,2,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3
2,1,1,2,1,2,1,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,1,3,1
3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3
3,2,1,1,1,3,3,3,1,3,1,3,3,3,3,3,3,1,2,1,2,3,1,2,1
1,3,2,2,1,1,1,3,3,2,3,2,2,3,3,1,3,2,1,1,3,1,2,3,3
1,3,3,1,3,2,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2
3,3,1,3,1,3,3,1,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1
3,3,1,3,1,1,1,2,1,1,2,3,3,3,2,1,1,2,1,2,1,1,2,3,3
2,3,3,3,3,2,1,1,3,2,3,2,1,1,1,1,1,3,2,3,2,2,3,1,3
1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,2,1,2,1,1,1,3,1,3,2
3,3,3,1,3,2,3,1,3,3,3,3,3,1,2,1,1,3,1,3,1,1,3,1,3
3,3,1,3,1,3,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,3,3,3,3,3,1,2,2,1,3,2,3,3,1,3,1,3
1,2,2,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1
3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,1,3,1,3
1,3,3,1,3,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1
1,3,3,1,3,2,1,1,3,3,3,3,1,3,3,1,1,2,2,3,1,3,3,3,3
1,2,1,1,1,1,1,3,1,1,1,3,3,1,1,3,3,2,2,1,1,1,3,2,1
3,3,3,3,2,3,3,1,3,3,3,3,1,3,2,1,1,1,1,1,3,1,1,2,1
1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,3,2,1
3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,3
1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,1,3,1,3,3,3,3,3,3,1,3,2,3,1,2,1,1,3,3,3
3,3,3,1,3,3,1,1,3,3,3,3,3,1,3,3,2,3,1,2,1,1,2,1,3
1,3,3,1,3,1,3,1,3,3,3,2,2,1,1,2,1,2,1,1,1,1,3,1,1
1,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,2,1,1,1,3,3,2,3,3,1,1,1,2,1,1,1,1,3,3,1,2,3,1
1,1,1,2,1,1,1,3,1,1,1,1,2,2,3,1,3,1,1,1,1,3,1,3,1
1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,3,3,1,1,1,1,3,1,3,1
3,1,1,3,1,3,3,3,1,2,2,1,3,3,2,3,3,1,3,1,3,1,1,2,3
1,3,3,3,1,1,1,1,2,1,3,1,1,3,1,1,1,2,1,1,1,1,2,1,3
